"section","item_no","item_text","response_type"
"Title and abstract","1a","Identification as a randomised trial in the title.","page_ref"
"Title and abstract","1b","Structured summary of trial design, methods, results, and conclusions (for specific guidance see CONSORT for abstracts).","page_ref"
"Introduction","2a","Scientific background and explanation of rationale.","page_ref"
"Introduction","2b","Specific objectives or hypotheses.","page_ref"
"Methods","3a","Description of trial design (such as parallel, factorial) including allocation ratio.","page_ref"
"Methods","3b","Important changes to methods after trial commencement (such as eligibility criteria), with reasons.","page_ref"
"Methods","4a","Eligibility criteria for participants.","page_ref"
"Methods","4b","Settings and locations where the data were collected.","page_ref"
"Methods","5","The interventions for each group with sufficient details to allow replication, including how and when they were actually administered.","page_ref"
"Methods","6a","Completely defined pre-specified primary and secondary outcome measures, including how and when they were assessed.","page_ref"
"Methods","6b","Any changes to trial outcomes after the trial commenced, with reasons.","page_ref"
"Methods","7a","How sample size was determined.","page_ref"
"Methods","7b","When applicable, explanation of any interim analyses and stopping guidelines.","page_ref"
"Methods","8a","Method used to generate the random allocation sequence.","page_ref"
"Methods","8b","Type of randomisation; details of any restriction (such as blocking and block size).","page_ref"
"Methods","9","Mechanism used to implement the random allocation sequence (such as sequentially numbered containers), describing any steps taken to conceal the sequence until interventions were assigned.","page_ref"
"Methods","10","Who generated the random allocation sequence, who enrolled participants, and who assigned participants to interventions.","page_ref"
"Methods","11a","If done, who was blinded after assignment to interventions (for example, participants, care providers, those assessing outcomes) and how.","page_ref"
"Methods","11b","If relevant, description of the similarity of interventions.","page_ref"
"Methods","12a","Statistical methods used to compare groups for primary and secondary outcomes.","page_ref"
"Methods","12b","Methods for additional analyses, such as subgroup analyses and adjusted analyses.","page_ref"
"Results","13a","For each group, the numbers of participants who were randomly assigned, received intended treatment, and were analysed for the primary outcome.","page_ref"
"Results","13b","For each group, losses and exclusions after randomisation, together with reasons.","page_ref"
"Results","14a","Dates defining the periods of recruitment and follow-up.","page_ref"
"Results","14b","Why the trial ended or was stopped.","page_ref"
"Results","15","A table showing baseline demographic and clinical characteristics for each group.","page_ref"
"Results","16","For each group, number of participants (denominator) included in each analysis and whether the analysis was by original assigned groups.","page_ref"
"Results","17a","For each primary and secondary outcome, results for each group, and the estimated effect size and its precision (such as 95% confidence interval).","page_ref"
"Results","17b","For binary outcomes, presentation of both absolute and relative effect sizes is recommended.","page_ref"
"Results","18","Results of any other analyses performed, including subgroup analyses and adjusted analyses, distinguishing pre-specified from exploratory.","page_ref"
"Results","19","All important harms or unintended effects in each group (for specific guidance see CONSORT for harms).","page_ref"
"Discussion","20","Trial limitations, addressing sources of potential bias, imprecision, and, if relevant, multiplicity of analyses.","page_ref"
"Discussion","21","Generalisability (external validity, applicability) of the trial findings.","page_ref"
"Discussion","22","Interpretation consistent with results, balancing benefits and harms, and considering other relevant evidence.","page_ref"
"Other information","23","Registration number and name of trial registry.","page_ref"
"Other information","24","Where the full trial protocol can be accessed, if available.","page_ref"
"Other information","25","Sources of funding and other support (such as supply of drugs), role of funders.","page_ref"
